City,ID,Wind Speed,Latitude,Longitude,Cloudiness,Humidity,Weather Description,Max Temperature
Upernavik,3418910,6.44,72.79,-56.15,44,100,scattered clouds,3.32
Busselton,2075265,16.51,-33.64,115.35,0,25,clear sky,82.0
Bluff,2175403,11.81,-23.58,149.07,92,44,overcast clouds,87.2
Dukat,786562,2.19,42.44,22.31,0,74,clear sky,35.01
Springfield,4409896,5.82,37.22,-93.29,40,57,scattered clouds,50.0
Butaritari,2110227,17.52,3.07,172.79,88,100,overcast clouds,83.69
Ushuaia,3833367,20.54,-54.81,-68.31,75,76,broken clouds,51.8
Christchurch,2192362,25.28,-43.53,172.64,0,77,clear sky,63.0
Ostrovnoy,556268,13.71,68.05,39.51,0,82,clear sky,18.17
Nuuk,3421319,3.65,64.17,-51.74,8,100,clear sky,1.7
Vila,3164565,5.82,45.18,8.4,0,64,clear sky,48.0
Semirom,116406,5.44,31.41,51.57,0,64,clear sky,42.11
Ust-Tarka,1488074,10.8,55.56,75.71,0,100,clear sky,32.03
Puerto Ayora,3652764,1.99,-0.74,-90.35,0,92,clear sky,78.01
Batagay,2027044,4.32,67.65,134.64,12,66,few clouds,7.64
Vila Velha,6320062,5.66,-3.71,-38.6,20,94,few clouds,77.0
Cayenne,3382160,3.36,4.94,-52.33,75,83,broken clouds,77.0
Kruisfontein,986717,11.59,-34.0,24.73,48,82,scattered clouds,61.28
New Norfolk,2155415,12.75,-42.78,147.06,0,32,clear sky,72.0
Geraldton,5960603,9.17,49.72,-86.95,40,54,scattered clouds,28.4
Tevaitoa,4033375,3.87,-16.78,-151.5,24,100,few clouds,83.6
Mbini,2308278,5.21,1.58,9.62,12,100,few clouds,79.46
Sao Filipe,3374210,10.69,14.9,-24.5,80,100,broken clouds,68.75
Kabinda,215527,4.65,-6.14,24.49,12,97,few clouds,73.7
Punta Arenas,3874787,25.28,-53.16,-70.91,40,57,scattered clouds,51.8
Pittsburg,5383465,4.7,38.02,-121.89,90,82,light rain,57.99
